category,k,seed,sample_id,label,anomaly_run_id,sam2_run_id,fusion_run_id,gt_area_fraction,gt_components,gt_thinness,area_stratum,thinness_stratum,anomaly_f1,sam2_f1,sam2_delta_f1,fusion_f1,fusion_delta_f1,fusion_vs_sam2_delta_f1,anomaly_iou,sam2_iou,sam2_delta_iou,fusion_iou,fusion_delta_iou,fusion_vs_sam2_delta_iou,mean_anomaly_inside_sam2,anomaly_pixels,sam2_pixels,intersection_pixels,union_pixels,mask_iou,sam2_to_anomaly_area_ratio
pcb1,1,4880,pcb1/010,1,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.003430119551614879,3.0,16.638903406239482,medium,thin,0.25698579935868077,0.31877103535605983,0.06178523599737906,0.33377218389593977,0.076786384537259,0.015001148539879938,0.14743758212877792,0.18960596210259256,0.042168379973814646,0.20031605562579013,0.05287847349701222,0.010710093523197572,0.7694255113601685,21043.0,24856.0,13836.0,32063.0,0.4315254343012195,1.181200399182626
pcb1,1,4880,pcb1/0168,0,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0,0.0,0.0,normal,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7705119848251343,2504.0,2766.0,1196.0,4074.0,0.2935689739813451,1.104632587859425
pcb1,1,4880,pcb1/011,1,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.002589397449210533,1.0,9.459286077852495,medium,medium,0.040049942374183634,0.0,-0.040049942374183634,0.0,-0.040049942374183634,0.0,0.020434164747390602,0.0,-0.020434164747390602,0.0,-0.020434164747390602,0.0,0.7844852209091187,16934.0,17856.0,9162.0,25628.0,0.3574996098017793,1.054446675327743
pcb1,1,4880,pcb1/0170,0,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0,0.0,0.0,normal,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7853773832321167,3098.0,7199.0,2430.0,7867.0,0.30888521672810476,2.3237572627501613
pcb1,1,4880,pcb1/012,1,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0024709108821258353,2.0,10.624964476755496,medium,medium,0.05639913232104121,0.09822999689473139,0.041830864573690174,0.08652182272639877,0.03012269040535756,-0.011708174168332613,0.029017857142857144,0.05165188047678659,0.022634023333929443,0.045217041800643086,0.016199184657785942,-0.006434838676143501,0.7516286969184875,12423.0,15610.0,6690.0,21343.0,0.31345171719064796,1.256540288175159
pcb1,1,4880,pcb1/0172,0,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0,0.0,0.0,normal,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8179246187210083,1866.0,2601.0,1105.0,3362.0,0.32867340868530637,1.3938906752411575
pcb1,1,4880,pcb1/013,1,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.003767606571344889,4.0,15.148457465079867,medium,thin,0.11377063158535841,0.07733913584084551,-0.036431495744512904,0.08978665456196096,-0.023983977023397454,0.01244751872111545,0.06031643525992896,0.04022505335316562,-0.020091381906763343,0.04700346941685281,-0.013312965843076154,0.00677841606368719,0.7865979671478271,27178.0,26510.0,16370.0,37318.0,0.43866230773353343,0.9754212966369858
pcb1,1,4880,pcb1/0174,0,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0,0.0,0.0,normal,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7916921377182007,10715.0,8923.0,6204.0,13434.0,0.4618133095131755,0.8327578161455903
pcb1,1,4880,pcb1/014,1,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.003085975983172245,3.0,21.149137767852054,medium,thin,0.12583190092115124,0.3406126667919564,0.21478076587080516,0.35029015927892326,0.22445825835777203,0.009677492486966865,0.0671401359264398,0.20526411162453564,0.13812397569809584,0.2123344061073273,0.14519427018088749,0.007070294482791645,0.732893168926239,40742.0,21969.0,11562.0,51149.0,0.2260454749848482,0.5392224240341662
pcb1,1,4880,pcb1/0178,0,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0,0.0,0.0,normal,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7713250517845154,1742.0,3668.0,1194.0,4216.0,0.2832068311195446,2.1056257175660162
pcb1,1,4880,pcb1/015,1,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0015922464520595361,1.0,2.797853410122993,small,compact,0.19974103003216237,0.19396691534219918,-0.0057741146899631945,0.3280285361503636,0.12828750611820122,0.13406162080816442,0.11095127610208817,0.10739942528735633,-0.0035518508147318467,0.1961926643144334,0.08524138821234524,0.08879323902707709,0.7592518925666809,21549.0,22272.0,12186.0,31635.0,0.38520625889046944,1.03355144090213
pcb1,1,4880,pcb1/0187,0,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0,0.0,0.0,normal,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7496007084846497,13248.0,10607.0,6140.0,17715.0,0.3465989274626023,0.800649154589372
pcb1,1,4880,pcb1/016,1,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0023577495540112363,1.0,4.077188375570977,medium,compact,0.2944550669216061,0.4211827226101465,0.12672765568854039,0.5952318574796961,0.30077679055809,0.1740491348695496,0.1726457399103139,0.2667710371819961,0.09412529727168217,0.4237224916076091,0.2510767516972952,0.15695145442561304,0.7799296379089355,20516.0,12641.0,7909.0,25248.0,0.31325253485424587,0.6161532462468318
pcb1,1,4880,pcb1/0196,0,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0,0.0,0.0,normal,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7549756765365601,7815.0,8263.0,3338.0,12740.0,0.26200941915227627,1.0573256557901471
pcb1,1,4880,pcb1/017,1,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0019623505604814016,1.0,2.560731770941241,small,compact,0.18256696082984983,0.158157602663707,-0.02440935816614284,0.29866387215090384,0.11609691132105401,0.14050626948719686,0.100453197941868,0.08586923772220548,-0.014583960219662517,0.1755466584539575,0.07509346051208951,0.08967742073175203,0.7270076870918274,29347.0,33092.0,16137.0,46302.0,0.3485162627964235,1.1276109994207244
pcb1,1,4880,pcb1/0208,0,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0,0.0,0.0,normal,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8209373354911804,5027.0,5629.0,3345.0,7311.0,0.4575297496922446,1.1197533320071613
pcb1,1,4880,pcb1/018,1,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0015516415049125329,1.0,3.6727853705702422,small,compact,0.22390855386388742,0.3055719629848395,0.0816634091209521,0.47173252279635264,0.24782396893246522,0.16616055981151312,0.12606814494321256,0.18033929816407157,0.054271153220859014,0.30867143993635643,0.18260329499314387,0.12833214177228486,0.7332831025123596,18490.0,12906.0,7539.0,23857.0,0.3160078802867083,0.6979989183342348
pcb1,1,4880,pcb1/0214,0,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0,0.0,0.0,normal,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125767111778259,7525.0,5123.0,3062.0,9586.0,0.3194241602336741,0.6807973421926911
pcb1,1,4880,pcb1/019,1,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.002695902228612509,5.0,8.873064916198823,medium,medium,0.2300269618277281,0.23276485041190925,0.0027378885841811418,0.3209333784240785,0.09090641659635038,0.08816852801216923,0.12996071514471258,0.13171130648129217,0.0017505913365795933,0.19113796576032224,0.06117725061560966,0.05942665927903007,0.752693235874176,24138.0,23626.0,13692.0,34072.0,0.4018548955153792,0.9787886320324799
pcb1,1,4880,pcb1/0215,0,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0,0.0,0.0,normal,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7939892411231995,5038.0,5681.0,3189.0,7530.0,0.4235059760956175,1.127630011909488
pcb1,1,4880,pcb1/020,1,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.004172324733072397,6.0,12.848638480133168,medium,thin,0.24757809410834322,0.3257181028724115,0.07814000876406826,0.36739414288379035,0.11981604877544713,0.04167604001137887,0.1412776759272317,0.1945419725502713,0.05326429662303961,0.2250354188565422,0.08375774292931051,0.030493446306270905,0.7210574746131897,34196.0,31157.0,20537.0,44816.0,0.45825151731524455,0.9111299567200842
pcb1,1,4880,pcb1/0237,0,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0,0.0,0.0,normal,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7009223103523254,7918.0,11662.0,5918.0,13662.0,0.4331723027375201,1.4728466784541552
pcb1,1,4880,pcb1/021,1,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.001748675346806188,3.0,11.644301508284082,small,thin,0.18366134162967104,0.21930951769039664,0.035648176060725595,0.3426353476544201,0.15897400602474906,0.12332582996402347,0.10111624326404926,0.12315981910901569,0.022043575844966426,0.20673503997415812,0.10561879671010886,0.08357522086514244,0.7454386949539185,25980.0,20719.0,12316.0,34383.0,0.3582002733909199,0.7974980754426482
pcb1,1,4880,pcb1/0261,0,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0,0.0,0.0,normal,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7769519686698914,8076.0,11595.0,5168.0,14503.0,0.3563400675722264,1.4357355126300149
pcb1,1,4880,pcb1/022,1,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0020901562957637725,1.0,2.7598683603037264,small,compact,0.22427770436770114,0.2217669292451164,-0.0025107751225847408,0.376378896882494,0.15210119251479284,0.15461196763737758,0.12630224045694058,0.1247119586809694,-0.0015902817759711751,0.2318144893287054,0.10551224887176483,0.107102530647736,0.7257071137428284,24861.0,25169.0,13540.0,36490.0,0.37106056453822966,1.0123888821849483
pcb1,1,4880,pcb1/0286,0,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0,0.0,0.0,normal,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7739465236663818,7614.0,10958.0,5235.0,13337.0,0.3925170578091025,1.439190964013659
pcb1,1,4880,pcb1/023,1,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0011262880421758926,2.0,4.876424680715153,small,medium,0.14768908479902237,0.2021002100210021,0.05441112522197972,0.37795982493547303,0.23027074013645066,0.17585961491447094,0.07973234060600348,0.11240905146518924,0.03267671085918576,0.23301508233015084,0.15328274172414735,0.12060603086496159,0.771341860294342,21221.0,14973.0,7219.0,28975.0,0.2491458153580673,0.7055746666038358
pcb1,1,4880,pcb1/0294,0,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0,0.0,0.0,normal,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7724593877792358,2714.0,3418.0,1572.0,4560.0,0.3447368421052632,1.2593957258658806
pcb1,1,4880,pcb1/024,1,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0016541523550869346,1.0,3.967793575222978,small,compact,0.17934065934065935,0.19546920475104226,0.016128545410382916,0.36967683479311386,0.19033617545245451,0.1742076300420716,0.09850313858039594,0.10832134606163638,0.009818207481240432,0.22675064838829195,0.128247509807896,0.11842930232665558,0.7469839453697205,24815.0,22941.0,10759.0,36997.0,0.29080736275914265,0.9244811605883538
pcb1,1,4880,pcb1/0297,0,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0,0.0,0.0,normal,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8068914413452148,2052.0,1800.0,712.0,3140.0,0.2267515923566879,0.8771929824561403
pcb1,1,4880,pcb1/025,1,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0014284953537289987,1.0,2.3548405186644272,small,compact,0.15339457520247868,0.28556987616881474,0.13217530096633606,0.39302191464821223,0.23962733944573356,0.1074520384793975,0.08306840927822913,0.1665683962264151,0.08349998694818596,0.24457204378252287,0.16150363450429372,0.07800364755610778,0.7961677312850952,16251.0,9725.0,4790.0,21186.0,0.22609270272821674,0.5984247123253954
pcb1,1,4880,pcb1/0303,0,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0,0.0,0.0,normal,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8348395824432373,8802.0,3666.0,2408.0,10060.0,0.2393638170974155,0.4164962508520791
