variant,method,k,seed,category,metric,mean,num_categories,aggregation,uncertainty_scope
area_cap_010,dinov2_multi_sam2,4,4880,pcb1,mean_anomaly_mask_iou,0.25371836834079997,1,within_category,descriptive_single_support_seed
area_cap_010,dinov2_multi_sam2,4,4880,pcb2,mean_anomaly_mask_iou,0.226947864900154,1,within_category,descriptive_single_support_seed
area_cap_010,dinov2_multi_sam2,4,4880,pcb3,mean_anomaly_mask_iou,0.18829987267332096,1,within_category,descriptive_single_support_seed
area_cap_010,dinov2_multi_sam2,4,4880,pcb4,mean_anomaly_mask_iou,0.17396269264531555,1,within_category,descriptive_single_support_seed
area_cap_050,dinov2_multi_sam2,4,4880,macro,mean_anomaly_mask_iou,0.21073219963989764,4,category_macro,descriptive_single_support_seed
area_cap_050,dinov2_multi_sam2,4,4880,pcb1,mean_anomaly_mask_iou,0.25371836834079997,1,within_category,descriptive_single_support_seed
area_cap_050,dinov2_multi_sam2,4,4880,pcb2,mean_anomaly_mask_iou,0.226947864900154,1,within_category,descriptive_single_support_seed
area_cap_050,dinov2_multi_sam2,4,4880,pcb3,mean_anomaly_mask_iou,0.18829987267332096,1,within_category,descriptive_single_support_seed
area_cap_050,dinov2_multi_sam2,4,4880,pcb4,mean_anomaly_mask_iou,0.17396269264531555,1,within_category,descriptive_single_support_seed
area_cap_none,dinov2_multi_sam2,4,4880,macro,mean_anomaly_mask_iou,0.21073219963989764,4,category_macro,descriptive_single_support_seed
area_cap_none,dinov2_multi_sam2,4,4880,pcb1,mean_anomaly_mask_iou,0.25371836834079997,1,within_category,descriptive_single_support_seed
area_cap_none,dinov2_multi_sam2,4,4880,pcb2,mean_anomaly_mask_iou,0.226947864900154,1,within_category,descriptive_single_support_seed
area_cap_none,dinov2_multi_sam2,4,4880,pcb3,mean_anomaly_mask_iou,0.18829987267332096,1,within_category,descriptive_single_support_seed
area_cap_none,dinov2_multi_sam2,4,4880,pcb4,mean_anomaly_mask_iou,0.17396269264531555,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,macro,mean_anomaly_mask_iou,0.1387112769474157,4,category_macro,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb1,mean_anomaly_mask_iou,0.20247815506969954,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb2,mean_anomaly_mask_iou,0.14402295379403873,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb3,mean_anomaly_mask_iou,0.09942434841982838,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb4,mean_anomaly_mask_iou,0.10891965050609613,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,macro,mean_anomaly_mask_iou,0.1632450048419557,4,category_macro,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb1,mean_anomaly_mask_iou,0.2413475181650897,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb2,mean_anomaly_mask_iou,0.16330739945360215,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb3,mean_anomaly_mask_iou,0.1327498232706301,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb4,mean_anomaly_mask_iou,0.1155752784785008,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,macro,mean_anomaly_mask_iou,0.19866863917959474,4,category_macro,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb1,mean_anomaly_mask_iou,0.26189916882878533,1,within_category,descriptive_single_support_seed
