method,k,category,metric,mean,seed_std,ci_low,ci_high,num_categories,num_seeds,ci_resampling_unit,aggregation,uncertainty_scope
anomaly_consistent_sam2,2,pcb4,mean_anomaly_mask_precision,0.33325786238048866,0.019460059076242733,0.317196669417421,0.3477821532504993,1,5,support_seed,within_category,support_seed_interval
anomaly_consistent_sam2,4,macro,mean_anomaly_mask_precision,0.30854556626552265,0.014358434100791361,0.2976288698038655,0.3194622627271798,4,5,support_seed,category_macro,support_seed_interval
anomaly_consistent_sam2,4,pcb1,mean_anomaly_mask_precision,0.3067224546126518,0.05348192535831617,0.26521103759431147,0.34823387163099206,1,5,support_seed,within_category,support_seed_interval
anomaly_consistent_sam2,4,pcb2,mean_anomaly_mask_precision,0.29494354788377486,0.013959770121501977,0.28299053113513384,0.30363407201194226,1,5,support_seed,within_category,support_seed_interval
anomaly_consistent_sam2,4,pcb3,mean_anomaly_mask_precision,0.28859273530877105,0.01051633828745911,0.28038575045874214,0.2967997201588001,1,5,support_seed,within_category,support_seed_interval
anomaly_consistent_sam2,4,pcb4,mean_anomaly_mask_precision,0.3439235272568929,0.019731533842165788,0.33029235424317926,0.3606610443785325,1,5,support_seed,within_category,support_seed_interval
dinov2_multi,1,macro,mean_anomaly_mask_precision,0.17268585487855165,0.005374346527003972,0.16897306869926054,0.17742920104755852,4,5,support_seed,category_macro,support_seed_interval
dinov2_multi,1,pcb1,mean_anomaly_mask_precision,0.17323978684182656,0.0064899908195823666,0.16747352983133476,0.17636749311874342,1,5,support_seed,within_category,support_seed_interval
dinov2_multi,1,pcb2,mean_anomaly_mask_precision,0.15547690450617496,0.0169314814889572,0.14158706968686466,0.16878054463457476,1,5,support_seed,within_category,support_seed_interval
dinov2_multi,1,pcb3,mean_anomaly_mask_precision,0.15620532355267347,0.008018986986910318,0.1500248186912811,0.1623858284140658,1,5,support_seed,within_category,support_seed_interval
dinov2_multi,1,pcb4,mean_anomaly_mask_precision,0.20582140461353154,0.015839911654154618,0.1935853892270229,0.2176393070219841,1,5,support_seed,within_category,support_seed_interval
dinov2_multi,2,macro,mean_anomaly_mask_precision,0.18191453122010642,0.015883874687329037,0.17341368901047113,0.19623906709221062,4,5,support_seed,category_macro,support_seed_interval
dinov2_multi,2,pcb1,mean_anomaly_mask_precision,0.1858019355313565,0.04772401185931836,0.16096370794210876,0.2294917199515786,1,5,support_seed,within_category,support_seed_interval
dinov2_multi,2,pcb2,mean_anomaly_mask_precision,0.1764147793487504,0.010989855057496948,0.16715998151723988,0.18351521727661874,1,5,support_seed,within_category,support_seed_interval
dinov2_multi,2,pcb3,mean_anomaly_mask_precision,0.1700650580725795,0.009113139238989688,0.16202008338516877,0.1765664358475149,1,5,support_seed,within_category,support_seed_interval
dinov2_multi,2,pcb4,mean_anomaly_mask_precision,0.19537635192773922,0.009543151908043897,0.18837621915636324,0.20292047983149358,1,5,support_seed,within_category,support_seed_interval
dinov2_multi,4,macro,mean_anomaly_mask_precision,0.19187768331814128,0.012447186949849202,0.18237047726214298,0.2018615108642316,4,5,support_seed,category_macro,support_seed_interval
