variant,run_id,method,category,k,seed,threshold_policy,image_auroc,pixel_auroc,aupro,aggregate_pixel_f1,aggregate_pixel_iou,mean_anomaly_mask_f1,mean_anomaly_mask_iou,mean_anomaly_mask_precision,mean_anomaly_mask_recall,git_commit,git_dirty,manifest_path,manifest_sha256,effective_execution_sha256,run_spec_sha256
prompt_point_box_center,dinov2_multi_sam2__pcb3__fold0__k4__seed4880__prompt_point_box_center,dinov2_multi_sam2,pcb3,4,4880,binary_model_output,,,,,,0.2802252253421791,0.1916583018708698,0.23185926526898634,0.4388932142428704,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,cf99c6d73b8b1249ef49d60c79b5305db8575b344bd4c46bf9ef1041015a14fd,aa2d2a54074420c199a7fadb8bb758379fdab1964689de9678b7bb2a5779d974
prompt_point_box_center,dinov2_multi_sam2__pcb4__fold0__k4__seed4880__prompt_point_box_center,dinov2_multi_sam2,pcb4,4,4880,binary_model_output,,,,,,0.2778873865784416,0.1814001991800583,0.329015796158758,0.3257718918554009,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,08e0b0326ab35a221c7816b62d2504d75bf415399e12c808007b1581eb4b288f,488cb82e706c95daa89a52ae6618a809fd0b1a5ab161492429700132ff5a6b32
area_cap_none,dinov2_multi_sam2__pcb1__fold0__k4__seed4880__area_cap_none,dinov2_multi_sam2,pcb1,4,4880,binary_model_output,,,,,,0.36356844887027656,0.25371836834079997,0.2912573736512857,0.6395595078621941,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,240a967a73763fd8a359a7d6fbc176be21a4d066d93ef215c595276878c1802c,c16808dd30f21015a8ad4a948ca160ef9ba98add7ca3e8338384a18c13400366
area_cap_none,dinov2_multi_sam2__pcb2__fold0__k4__seed4880__area_cap_none,dinov2_multi_sam2,pcb2,4,4880,binary_model_output,,,,,,0.33661078102485503,0.226947864900154,0.25038920164679435,0.5958935551424127,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,87a7d73377fb186266df9efc225e7c0bf54da4b744917700d6e9e557274017b7,fe467b86ea6f1ca3108ba50f98b1950445626cc4a8d32272862e68fd7d5a5b22
area_cap_none,dinov2_multi_sam2__pcb3__fold0__k4__seed4880__area_cap_none,dinov2_multi_sam2,pcb3,4,4880,binary_model_output,,,,,,0.27503152084112825,0.18829987267332096,0.22504206480526284,0.44476855896688966,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,c47fb7a32398bfa358498b60ea1b05fbaff40fae893b30f4a5a52595d5a13546,5a4d921592b77ec7118f5e18b8c9073ccc3ed8e256f8ebae1ca40aad67e52d17
area_cap_none,dinov2_multi_sam2__pcb4__fold0__k4__seed4880__area_cap_none,dinov2_multi_sam2,pcb4,4,4880,binary_model_output,,,,,,0.2669018087622393,0.17396269264531555,0.31667368585283034,0.3093866248858587,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,3dc1e3898167657fc96966cb199f6d31ebd57966c2aa0ee10b62743d6a45e89f,f61d892f918aecfadd29d5dbbc6707d6b750a6d775a0a0c8cc5edce7c64a26fa
area_cap_010,dinov2_multi_sam2__pcb1__fold0__k4__seed4880__area_cap_010,dinov2_multi_sam2,pcb1,4,4880,binary_model_output,,,,,,0.36356844887027656,0.25371836834079997,0.2912573736512857,0.6395595078621941,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,72ef7c4c7e579e3a421609a60f5aae3688a1bfde172ff9ec68b8a2ccee6c665e,fa62663d7b884f91612fd940b4fe15414616ff06afcd5229633a40bb8e92f53b
area_cap_010,dinov2_multi_sam2__pcb2__fold0__k4__seed4880__area_cap_010,dinov2_multi_sam2,pcb2,4,4880,binary_model_output,,,,,,0.33661078102485503,0.226947864900154,0.25038920164679435,0.5958935551424127,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,5de877cbbe36a16e6a5a849661d072c191bc88f609e4a3a886a67bbff6d9449a,fd0480577fd16ecdfd8528b23d069d74364438389ae2ff05dd6f6429bf44801c
area_cap_010,dinov2_multi_sam2__pcb3__fold0__k4__seed4880__area_cap_010,dinov2_multi_sam2,pcb3,4,4880,binary_model_output,,,,,,0.27503152084112825,0.18829987267332096,0.22504206480526284,0.44476855896688966,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,b03543aa43cea572bb9b27471a06e7ea37b2508d09078180c0f7352bccae0341,52c33a4dd5055e8d9443d3ff8ec5c76db0015b2db145bce38176637aed49898b
area_cap_010,dinov2_multi_sam2__pcb4__fold0__k4__seed4880__area_cap_010,dinov2_multi_sam2,pcb4,4,4880,binary_model_output,,,,,,0.2669018087622393,0.17396269264531555,0.31667368585283034,0.3093866248858587,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,22ff567bc115bcb413dfd60849b95c6af5de0cd2d1ef1e5fe9abbfefa4c38e9c,d0639fcdb435f8b12729c02ba57588639dc3dafc9f937b72449a0ae7154d320d
